ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.826891,,,,,,,,,,,,,dddc9c9a-4893-43e0-8171-8c8dce32f608,930,,,"[45.4, 31.2]",3893827,23,,,,-2.2718182,,Right Foot,,,"[36.2, 20.3]",,Ground Pass,,14.26359,,,,Thu Trần Thị,401874.0,,,,,,,1,From Kick Off,Thị Hải Linh Trần,401876.0,Left Defensive Midfield,50,Vietnam Women's,16769,['70185628-7e13-4be1-adaa-8970f7632e6c'],49,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:23:49.211,Pass,
,,,,,,,,,,,,,,1.221897,,,,,,,,,,,,,664ce556-9333-4a78-b8a8-97619ceb5f63,934,,,"[34.3, 13.6]",3893827,23,,,,0.04051835,,Left Foot,,,"[56.5, 14.5]",,Ground Pass,,22.218235,,,,Thị Thanh Nhã Nguyễn,401885.0,,,,,,,1,From Kick Off,Thu Trần Thị,401874.0,Left Center Back,50,Vietnam Women's,16769,['ee33945c-6e23-4e7e-8cd3-8d5655e2f88f'],52,,,,,,,,,,,,,,,,,Vietnam Women's,16769,00:23:52.402,Pass,
,,,,,,,,,,,,,,1.22963,,,,,,,,,,,,,ea4e9bd6-df0e-406d-a17d-daf41a4b37e2,945,,,"[66.8, 64.1]",3893827,23,,,,0.019045316,,Right Foot,,,"[77.3, 64.3]",,Ground Pass,,10.5019045,,,,Jill Roord,10650.0,,,,,,,1,Regular Play,Sherida Spitse,10645.0,Right Center Back,51,Netherlands Women's,851,['90ed0d5b-ca73-473a-8e94-560710805a84'],58,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:23:58.426,Pass,
,,,,,,,,,,,,,,1.283006,,,,,,,,,,,,,ae2fc032-5396-4285-8eea-f925bb8c417e,948,,,"[80.0, 62.6]",3893827,24,,,,-2.2152216,,Right Foot,,,"[67.0, 45.3]",,Ground Pass,,21.640009,,,,Jackie Groenen,10654.0,,,,,,,1,Regular Play,Jill Roord,10650.0,Right Center Midfield,51,Netherlands Women's,851,['ee5181b0-bcae-4cb4-9cfd-ef9e8f673a45'],1,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:01.293,Pass,
,,,,,,,,,,,,,,1.504769,,,,,,,,,,,,,4b22e9a8-324e-4a2c-8ec9-5b4b9a898735,951,,,"[67.4, 45.3]",3893827,24,,,,-1.5120405,,Right Foot,,,"[68.9, 19.8]",,Ground Pass,,25.544079,,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,,1,Regular Play,Jackie Groenen,10654.0,Center Defensive Midfield,51,Netherlands Women's,851,['ab1e6596-d100-4f25-941e-006a711ae137'],3,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:03.865,Pass,
,,,,,,,,,,,,,,1.642679,,,,,,,,,,,,,0dad90ca-1203-4269-9c45-103accb29358,955,,,"[69.3, 22.6]",3893827,24,,,,1.7610886,,Right Foot,,,"[64.6, 47.0]",,Ground Pass,,24.848541,,,,Stephanie van der Gragt,10647.0,,,,,,,1,Regular Play,Dominique Johanna Anna Petrone Janssen,10666.0,Left Center Back,51,Netherlands Women's,851,"['a03ef63b-3525-40cd-aa9f-ee83daa619df', 'f6fd8f13-b92f-40d6-a9e0-933427191f1e']",6,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:06.897,Pass,True
,,,,,,,,,,,,,,1.061471,,,,,,,,,,,,,3a0317aa-06ac-402a-a55a-97d55e9431a0,958,,,"[69.3, 52.6]",3893827,24,,,,1.5707964,,Left Foot,,,"[69.3, 61.3]",,Ground Pass,,8.7,,,,Sherida Spitse,10645.0,,,,,,,1,Regular Play,Stephanie van der Gragt,10647.0,Center Back,51,Netherlands Women's,851,['406b00bc-094e-41bd-ada1-8afcaa0f4358'],10,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:10.768,Pass,
,,,,,,,,,,,,,,1.227067,,,,,,,,,,,,,b7964967-9856-4764-89b7-0a9de93cd72e,961,,,"[69.3, 61.3]",3893827,24,,,,-1.6614562,,Right Foot,,,"[68.7, 54.7]",,Ground Pass,,6.627217,,,,Stephanie van der Gragt,10647.0,,,,,,,1,Regular Play,Sherida Spitse,10645.0,Right Center Back,51,Netherlands Women's,851,['d5ad5e63-0328-4e6e-bd92-fdd3f7e6eced'],12,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:12.528,Pass,
,,,,,,,,,,,,,,1.356376,,,,,,,,,,,,,cda7539f-3565-4a74-9a8e-701896e74c2b,964,,,"[67.0, 44.9]",3893827,24,,,,-1.7367939,,Right Foot,,,"[63.8, 25.8]",,Ground Pass,,19.366207,,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,,1,Regular Play,Stephanie van der Gragt,10647.0,Center Back,51,Netherlands Women's,851,['1027aac8-b085-489e-8552-d697dea59470'],15,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:15.928,Pass,
,,,,,,,,,,,,,,1.502301,,,,,,,,,,,,,23e83f36-159d-488c-aa87-b26b655e0cb9,967,,,"[63.8, 25.6]",3893827,24,,,,1.9820229,,Left Foot,,,"[58.0, 38.9]",,Ground Pass,,14.509652,,,,Stephanie van der Gragt,10647.0,,,,,,,1,Regular Play,Dominique Johanna Anna Petrone Janssen,10666.0,Left Center Back,51,Netherlands Women's,851,['b9e87094-ec7a-4999-8436-4fba841f6993'],19,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:24:19.370,Pass,
